Island,Atoll,Rats,Centroid_Long,Centroid_Lat,Size_Ha
Diego_Garcia,Diego_Garcia,P,-7.18307,72.27251,2719.5
West_Island,Diego_Garcia,A,-7.145334,72.23496,2
Middle_Island,Diego_Garcia,A,-7.134282,72.243209,5
East_Island,Diego_Garcia,A,-7.133602,72.251026,7.5
Sudest_complex,Egmonts_Islands,P,-6.411204,71.231597,202
Lubine_complex,Egmonts_Islands,P,-6.394103,71.19137,179
Danger,Great_Chagos_Bank,A,-6.231563,71.142225,66
Sea_Cow,Great_Chagos_Bank,A,-6.14735,71.174018,18
Eagle_Island,Great_Chagos_Bank,P,-6.11167,71.194096,243.5
North_Brother,Great_Chagos_Bank,A,-6.811,71.3012,6
Middle_Brother,Great_Chagos_Bank,A,-6.91907,71.305898,8
Resurgent,Great_Chagos_Bank,A,-6.94793,71.314471,0.5
South_Brother,Great_Chagos_Bank,A,-6.101865,71.322807,23
Nelson's_Island,Great_Chagos_Bank,A,-5.405393,72.185755,81
Coin,Peros_Banhos,P,-5.271475,71.455494,127.5
Anglais,Peros_Banhos,P,-5.262242,71.451273,12
Monpatre_complex,Peros_Banhos,P,-5.252839,71.45588,4.5
Poule,Peros_Banhos,P,-5.241995,71.45468,108
Petit_Souer,Peros_Banhos,P,-5.214999,71.451905,41.5
Grand_Souer,Peros_Banhos,P,-5.204529,71.44588,64
Finon,Peros_Banhos,U,-5.195656,71.44414,1
Verte,Peros_Banhos,U,-5.19445,71.443586,3
Unnamed_Burtle,Peros_Banhos,U,-5.193218,71.443035,2
Manon,Peros_Banhos,U,-5.185447,71.441121,2
Pierre,Peros_Banhos,P,-5.174301,71.441272,150
Petite_Mapou,Peros_Banhos,P,-5.162524,71.445009,10
Grande_Mapou,Peros_Banhos,P,-5.155634,71.45411,19.5
Diamant,Peros_Banhos,P,-5.151312,71.454559,88.5
Passe,Peros_Banhos,P,-5.143107,71.485709,22.5
Moresby,Peros_Banhos,P,-5.141374,71.493544,43.5
Saint_Brandon,Peros_Banhos,A,-5.145687,71.50323,0.5
Parasol,Peros_Banhos,A,-5.15507,71.503813,7.5
Longue,Peros_Banhos,A,-5.161113,71.521062,25.5
Grand_Bois_Mangue,Peros_Banhos,A,-5.16162,71.53842,14.5
Petite_Bois_Mangue,Peros_Banhos,A,-5.161182,71.534606,8.5
Manoel,Peros_Banhos,U,-5.153366,71.552204,50
Unnamed_Marlin,Peros_Banhos,A,-5.145995,71.565816,0.25
Yeye,Peros_Banhos,P,-5.143624,71.574384,58.5
Petite_Coquillage,Peros_Banhos,A,-5.202467,71.582341,17
Grand_Coquillage,Peros_Banhos,A,-5.222328,71.581192,21
Coin_de_Mire,Peros_Banhos,A,-5.254019,71.525208,0.5
Vache_Marine,Peros_Banhos,A,-5.252835,71.494655,8
Fouquet,Peros_Banhos,P,-5.274754,71.48411,2
Mapou_de_Coin,Peros_Banhos,P,-5.274606,71.473433,2
Boddam,Salomon_Islands,P,-5.213149,72.121988,108.5
Diable,Salomon_Islands,P,-5.204608,72.12139,0.5
Anglaise,Salomon_Islands,P,-5.193172,72.132091,75.5
Passe,Salomon_Islands,A,-5.18842,72.151092,26
Mapou,Salomon_Islands,A,-5.184149,72.155371,4
Takamaka,Salomon_Islands,P,-5.195105,72.161528,44
Fouquet,Salomon_Islands,P,-5.203199,72.155612,39.5
Sepulture,Salomon_Islands,P,-5.205702,72.151294,0.5
Jacobin,Salomon_Islands,A,-5.21144,72.144357,1.5
Sel,Salomon_Islands,A,-5.211751,72.133673,2
Poule,Salomon_Islands,P,-5.213185,72.13161,0.5
