Treatment,Atoll,Island,South,East,Island_Area_ha
A,Peros_Banhos,Longue,5.27,71.867,25.5
A,Peros_Banhos,Grand_Coquillage,5.372,71.969,28
A,Salomon,Passe,5.304,72.251,26
A,Great_Chagos_Bank,Nelson's_Island,5.682,72.313,29
A,Great_Chagos_Bank,Middle_Brother,6.154,71.517,8
A,Great_Chagos_Bank,South_Brother,6.172,71.544,23
R,Peros_Banhos,Ile_Anglaise,4.439,71.757,12
R,Peros_Banhos,Ile_Poule,5.414,71.755,108
R,Peros_Banhos,Grande_Ile_Mapou,5.266,71.753,19.5
R,Salomon,Ile_Fouquet,5.343,72.262,39.5
R,Salomon,Ile_Anglaise,5.327,72.223,75.5
R,Great_Chagos_Bank,Eagle_Island,6.187,71.338,243.5
