"","Atoll","Island","grazing_prop_reef","Erosion_t_ha","kg_N_ha_yr"
"1","Great_Chagos_Bank","Middle_Brother",11.80074065,155.0137871,424.83
"2","Great_Chagos_Bank","Middle_Brother",11.30333892,121.6148443,424.83
"3","Great_Chagos_Bank","Middle_Brother",3.511624085,62.01323565,424.83
"4","Great_Chagos_Bank","Middle_Brother",2.211482461,34.85222823,424.83
"5","Great_Chagos_Bank","Nelson_Island",18.56702737,154.6585008,119.33
"6","Great_Chagos_Bank","Nelson_Island",2.08805364,13.38369708,119.33
"7","Great_Chagos_Bank","Nelson_Island",53.09988232,284.4451793,119.33
"8","Great_Chagos_Bank","Nelson_Island",44.6970577,146.9999214,119.33
"9","Great_Chagos_Bank","South_Brother",5.258346941,27.00925887,172.44
"10","Great_Chagos_Bank","South_Brother",1.134313015,0.373842072,172.44
"11","Great_Chagos_Bank","South_Brother",5.218120902,11.448122,172.44
"12","Great_Chagos_Bank","South_Brother",4.578701008,4.569876613,172.44
"13","Peros_Banhos","Grande_Ile_Coquillage",25.97936877,262.4769774,213.46
"14","Peros_Banhos","Grande_Ile_Coquillage",6.720791119,3.500270343,213.46
"15","Peros_Banhos","Grande_Ile_Coquillage",27.31211819,205.4941102,213.46
"16","Peros_Banhos","Grande_Ile_Coquillage",4.285243131,10.25342685,213.46
"17","Peros_Banhos","Ile_Longue",19.23401621,108.1753137,206.42
"18","Peros_Banhos","Ile_Longue",20.17416388,152.1896787,206.42
"19","Peros_Banhos","Ile_Longue",3.5912144,24.50724854,206.42
"20","Peros_Banhos","Ile_Longue",12.722112,206.0362782,206.42
"21","Salomon","Ile_de_la_Passe",115.4357604,1344.902606,6.06
"22","Salomon","Ile_de_la_Passe",28.15023159,349.1075904,6.06
"23","Salomon","Ile_de_la_Passe",3.92090411,79.56320096,6.06
"24","Salomon","Ile_de_la_Passe",0,0,6.06
"25","Great_Chagos_Bank","Eagle",0.713457333,1.348747947,0.22
"26","Great_Chagos_Bank","Eagle",3.392239397,4.820194834,0.22
"27","Great_Chagos_Bank","Eagle",0,0,0.22
"28","Great_Chagos_Bank","Eagle",0,0,0.22
"29","Peros_Banhos","Grande_Ile_Mapou",5.923400346,44.18978628,1.16
"30","Peros_Banhos","Grande_Ile_Mapou",15.87136575,200.0344434,1.16
"31","Peros_Banhos","Grande_Ile_Mapou",9.31908921,110.4983816,1.16
"32","Peros_Banhos","Grande_Ile_Mapou",1.151802157,17.92482927,1.16
"33","Peros_Banhos","Ile_Poule",1.451218878,31.54979041,0.04
"34","Peros_Banhos","Ile_Poule",1.117440494,1.9865298,0.04
"35","Peros_Banhos","Ile_Poule",0,0,0.04
"36","Peros_Banhos","Ile_Poule",7.148355772,120.03452,0.04
"37","Peros_Banhos","PB_Ile_Anglaise",3.655156489,77.63480236,0.53
"38","Peros_Banhos","PB_Ile_Anglaise",1.681921989,3.976673537,0.53
"39","Peros_Banhos","PB_Ile_Anglaise",2.224980191,12.77557551,0.53
"40","Peros_Banhos","PB_Ile_Anglaise",24.02514453,242.8551821,0.53
"41","Salomon","Ile_Fouquet",18.62020601,168.4890788,2.44
"42","Salomon","Ile_Fouquet",3.7497544,27.72772697,2.44
"43","Salomon","Ile_Fouquet",2.196330811,21.27465352,2.44
"44","Salomon","Ile_Fouquet",0,0,2.44
"45","Salomon","Sal_Ile_Anglaise",2.305145865,0.415798952,0.16
"46","Salomon","Sal_Ile_Anglaise",13.46391994,151.342658,0.16
"47","Salomon","Sal_Ile_Anglaise",8.956592017,71.57395987,0.16
"48","Salomon","Sal_Ile_Anglaise",12.94527541,111.0957697,0.16
