"","Atoll","Island","ID","Treatment","Original.ID","Year","Date","Image","Use.","View","Processed.by","Top_surface_area_cm2","Top_perimeter_cm","Max_top_diameter_cm","number_days_between","number_days_total","diff_SA","diff_diameter","AMR","diff_AMR","diff_SA_day","diff_AMR_day","diff_diameter_day","diff_SA_year","diff_AMR_year","diff_diameter_year","Seabirds_ha","kg_N_ha_yr"
"1","Great Chagos Bank","Eagle_Island","Eagle_21","ratty",21,2019,2019-03-16,562,"Y","top","CB",38.538,41.174,9.334,0,0,"NA","NA",0.93597901588381,"NA","NA","NA","NA","NA","NA","NA",0.55,0.22
"2","Great Chagos Bank","Eagle_Island","Eagle_21","ratty",21,2020,2020-03-16,1449,"Y","top","CB",26.976,23.876,7.929,366,366,"-11.561999999999999","-1.405",1.12983749371754,"0.193858477833731","-3.1590163934426201E-2","5.2966797222330799E-4","-3.8387978142076502E-3","-11.5304098360656","0.19332880986150699","-1.40116120218579",0.55,0.22
"3","Great Chagos Bank","Eagle_Island","Eagle_50","ratty",50,2019,2019-03-16,538,"Y","top","CB",54.919,58.102,10.553,0,0,"NA","NA",0.945217032115934,"NA","NA","NA","NA","NA","NA","NA",0.55,0.22
"4","Great Chagos Bank","Eagle_Island","Eagle_50","ratty",50,2020,2020-03-16,1438,"Y","top","CB",31.712,36.336,8.421,366,366,"-23.207000000000001","-2.1320000000000001",0.872743284896521,"-7.2473747219412604E-2","-6.3407103825136604E-2","-1.9801570278528001E-4","-5.8251366120218601E-3","-23.143592896174901","-7.2275731516627306E-2","-2.12617486338798",0.55,0.22
"5","Great Chagos Bank","Eagle_Island","Eagle_59","ratty",59,2019,2019-03-16,608,"Y","top","CB",60.919,54.954,10.758,0,0,"NA","NA",1.10854532882047,"NA","NA","NA","NA","NA","NA","NA",0.55,0.22
"6","Great Chagos Bank","Eagle_Island","Eagle_59","ratty",59,2020,2020-03-16,1457,"Y","top","CB",45.133,51.302,10.477,366,366,"-15.786","-0.28099999999999897",0.879751276753343,"-0.228794052067125","-4.31311475409836E-2","-6.2512036083913901E-4","-7.6775956284152699E-4","-15.742868852459001","-0.22816893170628599","-0.280232240437157",0.55,0.22
"7","Great Chagos Bank","Eagle_Island","Eagle_59","ratty",59,2021,2021-05-06,3920,"Y","top","CB",13.536,25.052,6.093,416,782,"-31.597000000000001","-4.3840000000000003",0.540316142423759,"-0.339435134329584","-7.5954326923076895E-2","-8.1594984213842405E-4","-1.05384615384615E-2","-27.7233293269231","-0.29782169238052503","-3.8465384615384601",0.55,0.22
"8","Salomon","Ile_Fouquet","Fouquet_51","ratty",51,2018,2018-05-07,7635,"Y","top","CB",89.571,89.467,14.84,0,0,"NA","NA",1.00116243978227,"NA","NA","NA","NA","NA","NA","NA",3.85,2.44
"9","Salomon","Ile_Fouquet","Fouquet_51","ratty",51,2019,2019-03-11,9781,"Y","top","CB",297.341,137.176,25.895,308,308,"207.77","11.055",2.16758762465737,"1.1664251848751099","0.674577922077922","3.7870947560880198E-3","3.5892857142857101E-2","246.22094155844201","1.38228958597213","13.100892857142901",3.85,2.44
"10","Salomon","Ile_Fouquet","Fouquet_53","ratty",53,2018,2018-05-07,7655,"Y","top","CB",65.14,80.384,13.204,0,0,"NA","NA",0.810360270700637,"NA","NA","NA","NA","NA","NA","NA",3.85,2.44
"11","Salomon","Ile_Fouquet","Fouquet_53","ratty",53,2019,2019-03-11,9736,"Y","top","CB",177.283,132.492,19.939,308,308,"112.143","6.7350000000000003",1.3380656945325,"0.52770542383186303","0.36410064935064901","1.7133292981554001E-3","2.1866883116883101E-2","132.89673701298699","0.62536519382672096","7.9814123376623396",3.85,2.44
"12","Salomon","Ile_Fouquet","Fouquet_53","ratty",53,2020,2020-03-21,1919,"Y","top","CB",429.362,192.541,31.573,376,684,"252.07900000000001","11.634",2.22997699191341,"0.89191129738091102","0.67042287234042597","2.3721045143109301E-3","3.0941489361702101E-2","244.704348404255","0.86581814772348997","11.293643617021299",3.85,2.44
"13","Salomon","Ile_Fouquet","Fouquet_67","ratty",67,2018,2018-05-07,7639,"Y","top","CB",98.346,100.925,13.993,0,0,"NA","NA",0.974446371067625,"NA","NA","NA","NA","NA","NA","NA",3.85,2.44
"14","Salomon","Ile_Fouquet","Fouquet_67","ratty",67,2019,2019-03-11,9789,"Y","top","CB",367.522,148.696,27.984,308,308,"269.17599999999999","13.991",2.47163339968795,"1.4971870286203299","0.87394805194805203","4.8609968461699E-3","4.5425324675324702E-2","318.99103896103901","1.7742638488520099","16.580243506493499",3.85,2.44
"15","Salomon","Ile_Fouquet","Fouquet_68","ratty",68,2018,2018-05-07,7647,"Y","top","CB",77.024,84.967,13.646,0,0,"NA","NA",0.906516647639672,"NA","NA","NA","NA","NA","NA","NA",3.85,2.44
"16","Salomon","Ile_Fouquet","Fouquet_68","ratty",68,2019,2019-03-11,9746,"Y","top","CB",172,139.091,20.412,308,308,"94.975999999999999","6.766",1.23660049895392,"0.33008385131425","0.30836363636363601","1.07170081595536E-3","2.19675324675325E-2","112.552727272727","0.39117079782370601","8.0181493506493506",3.85,2.44
"17","Salomon","Ile_Fouquet","Fouquet_68","ratty",68,2020,2020-03-21,1901,"Y","top","CB",285.223,165.068,23.791,376,684,"113.223","3.379",1.72791213318148,"0.49131163422755503","0.30112499999999998","1.30667987826477E-3","8.98670212765958E-3","109.910625","0.47693815556664199","3.2801462765957501",3.85,2.44
"18","Salomon","Ile_Fouquet","Fouquet_68","ratty",68,2021,2021-04-22,2933,"Y","top","CB",545.941,184.188,31.997,397,1081,"260.71800000000002","8.2059999999999995",2.96404217430017,"1.2361300411187","0.65672040302266999","3.1136776854375201E-3","2.0670025188916901E-2","239.70294710327499","1.1364923551846899","7.5445591939546599",3.85,2.44
"19","Salomon","Ile_Fouquet","Fouquet_78","ratty",78,2018,2018-05-07,7666,"Y","top","CB",105.915,78.021,14.571,0,0,"NA","NA",1.35751912946514,"NA","NA","NA","NA","NA","NA","NA",3.85,2.44
"20","Salomon","Ile_Fouquet","Fouquet_78","ratty",78,2019,2019-03-11,9760,"Y","top","CB",188.609,102.735,18.049,308,308,"82.694000000000003","3.4780000000000002",1.83587871708765,"0.47835958762250902","0.268487012987013","1.5531155442289201E-3","1.12922077922078E-2","97.997759740259696","0.56688717364355701","4.12165584415584",3.85,2.44
"21","Peros Banhos","Grande_Ile_Coquillage","Grand Coquillage_16","birdy",16,2019,2019-03-09,9354,"Y","top","CB",60.467,56.616,11.07,0,0,"NA","NA",1.06801964109086,"NA","NA","NA","NA","NA","NA","NA",1160.9,213.46
"22","Peros Banhos","Grande_Ile_Coquillage","Grand Coquillage_16","birdy",16,2021,2021-04-23,3037,"Y","top","CB",223.334,129.757,19.401,776,776,"162.86699999999999","8.3309999999999995",1.7211711121558,"0.65315147106494098","0.209880154639175","8.4169004003214001E-4","1.0735824742268E-2","76.606256443299003","0.30721686461173098","3.9185760309278299",1160.9,213.46
"23","Peros Banhos","Grande_Ile_Coquillage","Grand Coquillage_50","birdy",50,2019,2019-03-09,9367,"Y","top","CB",31.648,30.477,7.469,0,0,"NA","NA",1.03842241690455,"NA","NA","NA","NA","NA","NA","NA",1160.9,213.46
"24","Peros Banhos","Grande_Ile_Coquillage","Grand Coquillage_50","birdy",50,2021,2021-04-23,3056,"Y","top","CB",192.177,104.179,23.319,776,776,"160.529","15.85",1.84468078979449,"0.80625837288993696","0.20686726804123701","1.0389927485695101E-3","2.0425257731958801E-2","75.506552835051593","0.37923235322787002","7.4552190721649501",1160.9,213.46
"25","Peros Banhos","Grande_Ile_Coquillage","Grand Coquillage_64","birdy",64,2018,2018-05-08,7743,"Y","top","SH",91.959,78.621,16.814,0,0,"NA","NA",1.16964933033159,"NA","NA","NA","NA","NA","NA","NA",1160.9,213.46
"26","Peros Banhos","Grande_Ile_Coquillage","Grand Coquillage_64","birdy",64,2019,2019-03-09,9320,"Y","top","SH",328.153,115.506,25.37,305,305,"236.19399999999999","8.5559999999999992",2.84100393053175,"1.67135460020016","0.774406557377049","5.4798511481972297E-3","2.8052459016393399E-2","282.65839344262298","2.0001456690919901","10.2391475409836",1160.9,213.46
"27","Peros Banhos","Grande_Ile_Coquillage","Grand Coquillage_65","birdy",65,2018,2018-05-08,7698,"Y","top","SH",95.556,73.683,13.015,0,0,"NA","NA",1.2968527340092,"NA","NA","NA","NA","NA","NA","NA",1160.9,213.46
"28","Peros Banhos","Grande_Ile_Coquillage","Grand Coquillage_65","birdy",65,2019,2019-03-09,9340,"Y","top","CB",561.005,182.205,31.844,305,305,"465.44900000000001","18.829000000000001",3.07897697648253,"1.7821242424733299","1.52606229508197","5.8430303031912498E-3","6.1734426229508199E-2","557.01273770491798","2.1327060606648098","22.5330655737705",1160.9,213.46
"29","Peros Banhos","Grande_Ile_Coquillage","Grand Coquillage_65","birdy",65,2021,2021-04-23,3024,"Y","top","CB",608.311,229.24,34.921,776,1081,"47.305999999999997","3.077",2.65359884836852,"-0.42537812811401099","6.0961340206185599E-2","-5.4816769086857102E-4","3.9652061855670103E-3","22.2508891752578","-0.20008120716702801","1.44730025773196",1160.9,213.46
"30","Peros Banhos","Grande_Ile_Coquillage","Grand Coquillage_74","birdy",74,2018,2018-05-08,7724,"Y","top","CB",27.482,60.231,9.91,0,0,"NA","NA",0.456276668160914,"NA","NA","NA","NA","NA","NA","NA",1160.9,213.46
"31","Peros Banhos","Grande_Ile_Coquillage","Grand Coquillage_74","birdy",74,2019,2019-03-09,9326,"Y","top","CB",86.614,114.527,16.25,305,305,"59.131999999999998","6.34",0.756275812690457,"0.29999914452954402","0.19387540983606599","9.8360375255588002E-4","2.0786885245901599E-2","70.764524590163902","0.35901536968289599","7.5872131147540998",1160.9,213.46
"32","Peros Banhos","Ile_Poule","Ile Poule_9","ratty",9,2018,2018-05-11,7963,"Y","top","SH",7.324,12.17,4.09,0,0,"NA","NA",0.601807723911257,"NA","NA","NA","NA","NA","NA","NA",0.22,0.04
"33","Peros Banhos","Ile_Poule","Ile Poule_9","ratty",9,2019,2019-03-04,8924,"Y","top","SH",28.815,33.046,7.361,297,297,"21.491","3.2709999999999999",0.871966349936452,"0.27015862602519503","7.2360269360269402E-2","9.0962500345183502E-4","1.1013468013468E-2","26.411498316498299","0.33201312625992002","4.0199158249158202",0.22,0.04
"34","Peros Banhos","Ile_Poule","Ile Poule_71","ratty",71,2018,2018-05-11,7928,"Y","top","CB",50.355,59.808,9.529,0,0,"NA","NA",0.841944221508828,"NA","NA","NA","NA","NA","NA","NA",0.22,0.04
"35","Peros Banhos","Ile_Poule","Ile Poule_71","ratty",71,2019,2019-03-04,8978,"Y","top","CB",217.087,150.773,22.584,297,297,"166.732","13.055",1.43982675943305,"0.59788253792422696","0.56138720538720499","2.01307251826339E-3","4.3956228956228999E-2","204.90632996632999","0.734771469166137","16.044023569023601",0.22,0.04
"36","Peros Banhos","Ile_Poule","Ile Poule_85","ratty",85,2018,2018-05-11,7950,"Y","top","SH",26.793,25.108,7.555,0,0,"NA","NA",1.06711008443524,"NA","NA","NA","NA","NA","NA","NA",0.22,0.04
"37","Peros Banhos","Ile_Poule","Ile Poule_85","ratty",85,2019,2019-03-04,8951,"Y","top","SH",40.872,34.323,11.772,297,297,"14.079000000000001","4.2169999999999996",1.19080499956298,"0.123694915127736","4.74040404040404E-2","4.1648119571628098E-4","1.41986531986532E-2","17.302474747474701","0.152015636436443","5.1825084175084202",0.22,0.04
"38","Peros Banhos","Ile_Poule","Ile Poule_88","ratty",88,2018,2018-05-11,7941,"Y","top","SH",20.245,27.874,6.453,0,0,"NA","NA",0.726304082657674,"NA","NA","NA","NA","NA","NA","NA",0.22,0.04
"39","Peros Banhos","Ile_Poule","Ile Poule_88","ratty",88,2019,2019-03-04,8897,"Y","top","CB",30.918,37.893,8.662,297,297,"10.673","2.2090000000000001",0.815929063415406,"8.9624980757732606E-2","3.5936026936026898E-2","3.0176761197889799E-4","7.4377104377104401E-3","13.1166498316498","0.11014517837229799","2.7147643097643099",0.22,0.04
"40","Peros Banhos","Ile_Poule","Ile Poule_99","ratty",99,2018,2018-05-11,7969,"Y","top","CB",5.46,14.824,3.463,0,0,"NA","NA",0.368321640582839,"NA","NA","NA","NA","NA","NA","NA",0.22,0.04
"41","Peros Banhos","Ile_Poule","Ile Poule_99","ratty",99,2019,2019-03-04,8963,"Y","top","CB",26.766,41.129,7.534,297,297,"21.306000000000001","4.0709999999999997",0.650781686887598,"0.28246004630475902","7.1737373737373697E-2","9.5104392695205E-4","1.3707070707070701E-2","26.184141414141401","0.34713103333749801","5.00308080808081",0.22,0.04
"42","Peros Banhos","Ile_Longue","Longue_17","birdy",17,2019,2019-03-05,9198,"Y","top","CB",65.67,69.124,11.26,0,0,"NA","NA",0.950031826861871,"NA","NA","NA","NA","NA","NA","NA",1426.88,206.42
