"","Atoll_Island","Atoll","Island","Rattus_rattus","Centroid_Long","Centroid_Lat","Size_Ha","Savanna_ha","Wetland_ha","NativeForest_ha","NonNativeForest_ha","MixedShrub_ha","Savanna_p","Wetland_p","NativeForest_p","NonNativeForest_p","MixedShrub_p","Ardenna_pacifica","Puffinus_bailloni","Phaethon_lepturus","Phaethon_rubricauda","Sula_dactylatra","Sula_sula","Sula_leucogaster","Fregeta_minor","Fregeta_ariel","Thalasseus_bergii","Sterna_dougallii","Sterna_sumatrana","Sternula_albifrons","Onychoprion_anaethetus","Onychoprion_fuscatus","Anous_stolidus","Anous_tenuirostris","Gygis_alba","Seabirds_Abundance_Total","Seabirds_Density_Total"
"1","Diego_Garcia_Diego_Garcia","Diego_Garcia","Diego_Garcia","P",-7.18307,72.27251,2719.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,6,5,0,8068,0,0,0,14,0,5,5,0,0,400,25,200,8748,3.21676778819636
"2","Diego_Garcia_West_Island","Diego_Garcia","West_Island","A",-7.145334,72.23496,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,268,0,0,0,0,0,0,0,8,0,240,0,0,516,258
"3","Diego_Garcia_Middle_Island","Diego_Garcia","Middle_Island","A",-7.134282,72.243209,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,520,0,0,0,0,0,1,0,0,0,22,10,10,563,112.6
"4","Diego_Garcia_East_Island","Diego_Garcia","East_Island","A",-7.133602,72.251026,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1113,3,0,0,0,0,0,0,0,0,34,40,15,1205,160.666666666667
"5","Egmont_Islands_Sudest_complex","Egmont_Islands","Sudest_complex","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,123,0,0,0,70,0,40,0,0,0,24,0,17,276,NA
"6","Egmont_Islands_Lubine_complex","Egmont_Islands","Lubine_complex","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,40,0,30,101,NA
"7","Great_Chagos_Bank_Danger","Great_Chagos_Bank","Danger","A",-6.231563,71.142225,66,0,0,11.27,19.09,38.15,0,0,16.45015326,27.86454532,55.68530142,40,10,0,0,0,3500,141,0,0,0,0,0,0,0,0,45,2400,35,6171,93.5
"8","Great_Chagos_Bank_Sea_Cow","Great_Chagos_Bank","Sea_Cow","A",-6.14735,71.174018,18,2.11,0,4.21,7.03,7.11,10.31280547,0,20.57673509,34.3597263,34.75073314,150,5,0,0,0,1400,0,0,0,5,0,14,0,11,0,140,1200,25,2950,163.888888888889
"9","Great_Chagos_Bank_Eagle_Island","Great_Chagos_Bank","Eagle_Island","P",-6.11167,71.194096,243.5,40.9,9.38,13.51,192.01,9.63,15.40895905,3.533888407,5.089854199,72.33922315,3.628075199,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,40,10,20,81,0.33264887063655
"10","Great_Chagos_Bank_North_Brother","Great_Chagos_Bank","North_Brother","A",-6.811,71.3012,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3200,1200,0,0,0,377,740,300,15,10,0,0,0,6,10000,124,600,55,16627,2771.16666666667
"11","Great_Chagos_Bank_Middle_Brother","Great_Chagos_Bank","Middle_Brother","A",-6.91907,71.305898,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,77,0,10,0,40,0,8,0,0,32000,80,25,35,32275,4034.375
"12","Great_Chagos_Bank_Resurgent","Great_Chagos_Bank","Resurgent","A",-6.94793,71.314471,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,140,0,7,0,0,6,0,0,0,4,0,0,0,0,158,316
"13","Great_Chagos_Bank_South_Brother","Great_Chagos_Bank","South_Brother","A",-6.101865,71.322807,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,400,0,0,0,105,0,0,0,40,0,0,0,2,10000,55,11500,30,22432,975.304347826087
"14","Great_Chagos_Bank_Nelson's_Island","Great_Chagos_Bank","Nelson's_Island","A",-5.405393,72.185755,81,4.21,0,0.23,3.39,21.14,14.53227477,0,0.79392475,11.70176044,72.97204004,32,5,0,0,0,3300,25,250,50,0,0,0,0,9,0,650,12000,25,16346,201.802469135802
"15","Peros_Banhos_Coin","Peros_Banhos","Coin","P",-5.271475,71.455494,127.5,0,0,4.23,117.77,3.46,0,0,3.371592539,93.87055635,2.757851108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,20,51,0.4
"16","Peros_Banhos_Anglaise","Peros_Banhos","Anglaise","P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,40,NA
"17","Peros_Banhos_Monpatre_complex","Peros_Banhos","Monpatre_complex","P",-5.252839,71.45588,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,2,0,2,15,3.33333333333333
"18","Peros_Banhos_Poule","Peros_Banhos","Poule","P",-5.241995,71.45468,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,8,0,2,16,0.148148148148148
"19","Peros_Banhos_Petit_Souer","Peros_Banhos","Petit_Souer","P",-5.214999,71.451905,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,9,0.216867469879518
"20","Peros_Banhos_Grand_Souer","Peros_Banhos","Grand_Souer","P",-5.204529,71.44588,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,4,15,0.234375
"21","Peros_Banhos_Finon","Peros_Banhos","Finon","U",-5.195656,71.44414,1,0,0,0,0.25,1.03,0,0,0,19.53125,80.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2
"22","Peros_Banhos_Verte","Peros_Banhos","Verte","U",-5.19445,71.443586,3,0,0,0,0.87,2.92,0,0,0,22.95514512,77.04485488,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,5,1.66666666666667
"23","Peros_Banhos_Unnamed_Burtle","Peros_Banhos","Unnamed_Burtle","U",-5.193218,71.443035,2,0,0,0,0.57,1.86,0,0,0,23.45679012,76.54320988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5
"24","Peros_Banhos_Manon","Peros_Banhos","Manon","U",-5.185447,71.441121,2,0,0,0,1.03,1.19,0,0,0,46.3963964,53.6036036,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,10,5,33,16.5
"25","Peros_Banhos_Pierre","Peros_Banhos","Pierre","P",-5.174301,71.441272,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,13,0.0866666666666667
"26","Peros_Banhos_Petite_Mapou","Peros_Banhos","Petite_Mapou","P",-5.162524,71.445009,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,5,0,2,29,2.9
"27","Peros_Banhos_Grande_Mapou","Peros_Banhos","Grande_Mapou","P",-5.155634,71.45411,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,15,10,45,2.30769230769231
"28","Peros_Banhos_Diamant","Peros_Banhos","Diamant","P",-5.151312,71.454559,88.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,20,15,10,57,0.644067796610169
"29","Peros_Banhos_Passe","Peros_Banhos","Passe","P",-5.143107,71.485709,22.5,0.24,0,1.441,19.71,0.03,1.120395873,0,6.727043555,92.01251109,0.140049484,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,15,40,15,124,5.51111111111111
"30","Peros_Banhos_Moresby","Peros_Banhos","Moresby","P",-5.141374,71.493544,43.5,0,3.54,6.61,20.52,0.9,0,11.21317707,20.93759899,64.99841622,2.850807729,0,0,1,0,0,540,0,0,0,14,0,0,0,0,0,45,105,25,730,16.7816091954023
"31","Peros_Banhos_Saint_Brandon","Peros_Banhos","Saint_Brandon","A",-5.145687,71.50323,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
"32","Peros_Banhos_Parasol","Peros_Banhos","Parasol","A",-5.15507,71.503813,7.5,3.15,0,0.02,1.39,3.33,39.92395437,0,0.253485425,17.61723701,42.20532319,0,0,0,0,0,96,1,0,0,0,0,0,0,3,37500,30,140,10,37780,5037.33333333333
