,Atoll_Island,Estimate,Value,Atoll,Island,Low,High
1,Diego_Garcia_Diego_Garcia,Current,8748,Diego Garcia,Diego Garcia,8748,8748
2,Diego_Garcia_East_Island,Current,1205,Diego Garcia,East Island,1205,1205
3,Diego_Garcia_Middle_Island,Current,563,Diego Garcia,Middle Island,563,563
4,Diego_Garcia_West_Island,Current,516,Diego Garcia,West Island,516,516
5,Egmont_Islands_Lubine_complex,Current,101,Egmont Islands,Lubine complex,101,101
6,Egmont_Islands_Sudest_complex,Current,276,Egmont Islands,Sudest complex,276,276
7,Great_Chagos_Bank_Danger,Current,6171,Great Chagos Bank,Danger,6171,6171
8,Great_Chagos_Bank_Eagle_Island,Current,81,Great Chagos Bank,Eagle Island,81,81
9,Great_Chagos_Bank_Middle_Brother,Current,32275,Great Chagos Bank,Middle Brother,32275,32275
10,Great_Chagos_Bank_Nelson's_Island,Current,16346,Great Chagos Bank,Nelson's Island,16346,16346
11,Great_Chagos_Bank_North_Brother,Current,16627,Great Chagos Bank,North Brother,16627,16627
12,Great_Chagos_Bank_Resurgent,Current,158,Great Chagos Bank,Resurgent,158,158
13,Great_Chagos_Bank_Sea_Cow,Current,2950,Great Chagos Bank,Sea Cow,2950,2950
14,Great_Chagos_Bank_South_Brother,Current,22432,Great Chagos Bank,South Brother,22432,22432
15,Peros_Banhos_Anglaise,Current,40,Peros Banhos,Anglaise,40,40
16,Peros_Banhos_Coin,Current,51,Peros Banhos,Coin,51,51
17,Peros_Banhos_Coin_de_Mire,Current,52,Peros Banhos,Coin de Mire,52,52
18,Peros_Banhos_Diamant,Current,57,Peros Banhos,Diamant,57,57
19,Peros_Banhos_Finon,Current,2,Peros Banhos,Finon,2,2
20,Peros_Banhos_Fouquet,Current,8,Peros Banhos,Fouquet,8,8
21,Peros_Banhos_Grand_Bois_Mangue,Current,2187,Peros Banhos,Grand Bois Mangue,2187,2187
22,Peros_Banhos_Grand_Coquillage,Current,40525,Peros Banhos,Grand Coquillage,40525,40525
23,Peros_Banhos_Grand_Souer,Current,15,Peros Banhos,Grand Souer,15,15
24,Peros_Banhos_Grande_Mapou,Current,45,Peros Banhos,Grande Mapou,45,45
25,Peros_Banhos_Longue,Current,49758,Peros Banhos,Longue,49758,49758
26,Peros_Banhos_Manoel,Current,43,Peros Banhos,Manoel,43,43
27,Peros_Banhos_Manon,Current,33,Peros Banhos,Manon,33,33
28,Peros_Banhos_Mapou_de_Coin,Current,10,Peros Banhos,Mapou de Coin,10,10
29,Peros_Banhos_Monpatre_complex,Current,15,Peros Banhos,Monpatre complex,15,15
30,Peros_Banhos_Moresby,Current,730,Peros Banhos,Moresby,730,730
31,Peros_Banhos_Parasol,Current,37780,Peros Banhos,Parasol,37780,37780
32,Peros_Banhos_Passe,Current,124,Peros Banhos,Passe,124,124
33,Peros_Banhos_Petit_Souer,Current,9,Peros Banhos,Petit Souer,9,9
34,Peros_Banhos_Petite_Bois_Mangue,Current,16215,Peros Banhos,Petite Bois Mangue,16215,16215
35,Peros_Banhos_Petite_Coquillage,Current,22135,Peros Banhos,Petite Coquillage,22135,22135
36,Peros_Banhos_Petite_Mapou,Current,29,Peros Banhos,Petite Mapou,29,29
37,Peros_Banhos_Pierre,Current,13,Peros Banhos,Pierre,13,13
38,Peros_Banhos_Poule,Current,16,Peros Banhos,Poule,16,16
39,Peros_Banhos_Saint_Brandon,Current,1,Peros Banhos,Saint Brandon,1,1
40,Peros_Banhos_Unnamed_Burtle,Current,1,Peros Banhos,Unnamed Burtle,1,1
41,Peros_Banhos_Unnamed_Marlin,Current,3,Peros Banhos,Unnamed Marlin,3,3
42,Peros_Banhos_Vache_Marine,Current,37,Peros Banhos,Vache Marine,37,37
43,Peros_Banhos_Verte,Current,5,Peros Banhos,Verte,5,5
44,Peros_Banhos_Yeye,Current,147,Peros Banhos,Yeye,147,147
45,Salomon_Islands_Anglaise,Current,46,Salomon Islands,Ile Anglaise,46,46
46,Salomon_Islands_Boddam,Current,66,Salomon Islands,Boddam,66,66
47,Salomon_Islands_Diable,Current,1,Salomon Islands,Diable,1,1
48,Salomon_Islands_Fouquet,Current,109,Salomon Islands,Fouquet,109,109
49,Salomon_Islands_Jacobin,Current,7,Salomon Islands,Jacobin,7,7
50,Salomon_Islands_Mapou,Current,1774,Salomon Islands,Mapou,1774,1774
51,Salomon_Islands_Passe,Current,498,Salomon Islands,Ile Passe,498,498
52,Salomon_Islands_Poule,Current,27,Salomon Islands,Ile Poule,27,27
53,Salomon_Islands_Sel,Current,4,Salomon Islands,Sel,4,4
54,Salomon_Islands_Sepulture,Current,7,Salomon Islands,Sepulture,7,7
55,Salomon_Islands_Takamaka,Current,522,Salomon Islands,Takamaka,522,522
56,Diego_Garcia_Diego_Garcia,High.nn,8748,Diego Garcia,Diego Garcia,8748,8748
57,Diego_Garcia_East_Island,High.nn,1205,Diego Garcia,East Island,1205,1205
58,Diego_Garcia_Middle_Island,High.nn,563,Diego Garcia,Middle Island,563,563
59,Diego_Garcia_West_Island,High.nn,516,Diego Garcia,West Island,516,516
60,Egmont_Islands_Lubine_complex,High.nn,101,Egmont Islands,Lubine complex,101,101
61,Egmont_Islands_Sudest_complex,High.nn,276,Egmont Islands,Sudest complex,276,276
62,Great_Chagos_Bank_Danger,High.nn,6171,Great Chagos Bank,Danger,6171,6171
63,Great_Chagos_Bank_Eagle_Island,High.nn,7912.168565,Great Chagos Bank,Eagle Island,643.0224847,96437.5503
64,Great_Chagos_Bank_Middle_Brother,High.nn,32275,Great Chagos Bank,Middle Brother,32275,32275
65,Great_Chagos_Bank_Nelson's_Island,High.nn,16346,Great Chagos Bank,Nelson's Island,16346,16346
66,Great_Chagos_Bank_North_Brother,High.nn,16627,Great Chagos Bank,North Brother,16627,16627
67,Great_Chagos_Bank_Resurgent,High.nn,158,Great Chagos Bank,Resurgent,158,158
68,Great_Chagos_Bank_Sea_Cow,High.nn,2950,Great Chagos Bank,Sea Cow,2950,2950
69,Great_Chagos_Bank_South_Brother,High.nn,22432,Great Chagos Bank,South Brother,22432,22432
70,Peros_Banhos_Anglaise,High.nn,40,Peros Banhos,Anglaise,40,40
71,Peros_Banhos_Coin,High.nn,10546.61863,Peros Banhos,Coin,1139.780583,104037.1191
72,Peros_Banhos_Coin_de_Mire,High.nn,52,Peros Banhos,Coin de Mire,52,52
73,Peros_Banhos_Diamant,High.nn,10889.9068,Peros Banhos,Diamant,1208.979123,111679.0347
74,Peros_Banhos_Finon,High.nn,2,Peros Banhos,Finon,2,2
75,Peros_Banhos_Fouquet,High.nn,5153.910732,Peros Banhos,Fouquet,509.9182068,54807.22641
76,Peros_Banhos_Grand_Bois_Mangue,High.nn,2187,Peros Banhos,Grand Bois Mangue,2187,2187
77,Peros_Banhos_Grand_Coquillage,High.nn,40525,Peros Banhos,Grand Coquillage,40525,40525
78,Peros_Banhos_Grand_Souer,High.nn,10351.59958,Peros Banhos,Grand Souer,1273.246195,99432.12364
79,Peros_Banhos_Grande_Mapou,High.nn,8020.703661,Peros Banhos,Grande Mapou,1205.958596,56782.10199
80,Peros_Banhos_Longue,High.nn,49758,Peros Banhos,Longue,49758,49758
81,Peros_Banhos_Manoel,High.nn,43,Peros Banhos,Manoel,43,43
82,Peros_Banhos_Manon,High.nn,33,Peros Banhos,Manon,33,33
83,Peros_Banhos_Mapou_de_Coin,High.nn,5169.758319,Peros Banhos,Mapou de Coin,511.6356181,51500.47712
84,Peros_Banhos_Monpatre_complex,High.nn,6071.561329,Peros Banhos,Monpatre complex,801.6783635,47292.72601
85,Peros_Banhos_Moresby,High.nn,13206.87645,Peros Banhos,Moresby,1815.701764,152424.0458
86,Peros_Banhos_Parasol,High.nn,37780,Peros Banhos,Parasol,37780,37780
87,Peros_Banhos_Passe,High.nn,12162.22658,Peros Banhos,Passe,1974.296596,98509.52341
88,Peros_Banhos_Petit_Souer,High.nn,9391.164341,Peros Banhos,Petit Souer,1308.727334,72991.04388
89,Peros_Banhos_Petite_Bois_Mangue,High.nn,16215,Peros Banhos,Petite Bois Mangue,16215,16215
90,Peros_Banhos_Petite_Coquillage,High.nn,22135,Peros Banhos,Petite Coquillage,22135,22135
91,Peros_Banhos_Petite_Mapou,High.nn,7170.089429,Peros Banhos,Petite Mapou,1066.697235,50284.9978
92,Peros_Banhos_Pierre,High.nn,12033.25644,Peros Banhos,Pierre,1084.883445,148755.0005
93,Peros_Banhos_Poule,High.nn,11362.64681,Peros Banhos,Poule,1127.334591,121817.0837
94,Peros_Banhos_Saint_Brandon,High.nn,1,Peros Banhos,Saint Brandon,1,1
95,Peros_Banhos_Unnamed_Burtle,High.nn,1,Peros Banhos,Unnamed Burtle,1,1
96,Peros_Banhos_Unnamed_Marlin,High.nn,3,Peros Banhos,Unnamed Marlin,3,3
97,Peros_Banhos_Vache_Marine,High.nn,37,Peros Banhos,Vache Marine,37,37
98,Peros_Banhos_Verte,High.nn,5,Peros Banhos,Verte,5,5
99,Peros_Banhos_Yeye,High.nn,9403.520968,Peros Banhos,Yeye,1282.903828,82524.02976
100,Salomon_Islands_Anglaise,High.nn,9223.437525,Salomon Islands,Ile Anglaise,1169.835807,81764.06054
101,Salomon_Islands_Boddam,High.nn,12266.19006,Salomon Islands,Boddam,1524.43411,117749.9208
102,Salomon_Islands_Diable,High.nn,3946.96973,Salomon Islands,Diable,201.7288352,78623.42187
103,Salomon_Islands_Fouquet,High.nn,8619.897856,Salomon Islands,Fouquet,1253.773453,65068.08089
104,Salomon_Islands_Jacobin,High.nn,7,Salomon Islands,Jacobin,7,7
105,Salomon_Islands_Mapou,High.nn,1774,Salomon Islands,Mapou,1774,1774
106,Salomon_Islands_Passe,High.nn,498,Salomon Islands,Ile Passe,498,498
107,Salomon_Islands_Poule,High.nn,3972.413847,Salomon Islands,Ile Poule,222.9794128,77150.94349
108,Salomon_Islands_Sel,High.nn,4,Salomon Islands,Sel,4,4
109,Salomon_Islands_Sepulture,High.nn,4007.26281,Salomon Islands,Sepulture,211.5954501,76452.01225
110,Salomon_Islands_Takamaka,High.nn,12023.6082,Salomon Islands,Takamaka,1662.851308,124278.7132
221,Diego_Garcia_Diego_Garcia,Low.nn,8748,Diego Garcia,Diego Garcia,8748,8748
222,Diego_Garcia_East_Island,Low.nn,1205,Diego Garcia,East Island,1205,1205
223,Diego_Garcia_Middle_Island,Low.nn,563,Diego Garcia,Middle Island,563,563
224,Diego_Garcia_West_Island,Low.nn,516,Diego Garcia,West Island,516,516
225,Egmont_Islands_Lubine_complex,Low.nn,101,Egmont Islands,Lubine complex,101,101
226,Egmont_Islands_Sudest_complex,Low.nn,276,Egmont Islands,Sudest complex,276,276
227,Great_Chagos_Bank_Danger,Low.nn,6171,Great Chagos Bank,Danger,6171,6171
