"","Atoll_Island","Species","Census","Value.high.nn","Value.high.nn.q2.5","Value.high.nn.q97.5","Value.low.nn","Value.low.nn.q2.5","Value.low.nn.q.97.5","Size_Ha","Season.length","Mass","Defecation.rate","NitrogenInput.Current","NitrogenInput.high.nn","NitrogenInput.low.nn"
"1","Diego_Garcia_Diego_Garcia","Ardenna_pacifica",18,18,18,18,18,18,18,2719.5,159,0.435,14.3091066075762,0.00272565987242869,0.00272565987242869,0.00272565987242869
"2","Diego_Garcia_West_Island","Ardenna_pacifica",0,0,0,0,0,0,0,2,159,0.435,14.3091066075762,0,0,0
"3","Diego_Garcia_Middle_Island","Ardenna_pacifica",0,0,0,0,0,0,0,5,159,0.435,14.3091066075762,0,0,0
"4","Diego_Garcia_East_Island","Ardenna_pacifica",0,0,0,0,0,0,0,7.5,159,0.435,14.3091066075762,0,0,0
"5","Great_Chagos_Bank_Danger","Ardenna_pacifica",40,40,40,40,40,40,40,66,159,0.435,14.3091066075762,0.249576835793596,0.249576835793596,0.249576835793596
"6","Great_Chagos_Bank_Sea_Cow","Ardenna_pacifica",150,150,150,150,150,150,150,18,159,0.435,14.3091066075762,3.43168149216195,3.43168149216195,3.43168149216195
"7","Great_Chagos_Bank_Eagle_Island","Ardenna_pacifica",0,0,0,0,0,0,0,243.5,159,0.435,14.3091066075762,0,0,0
"8","Great_Chagos_Bank_North_Brother","Ardenna_pacifica",3200,3200,3200,3200,3200,3200,3200,6,159,0.435,14.3091066075762,219.627615498365,219.627615498365,219.627615498365
"9","Great_Chagos_Bank_Middle_Brother","Ardenna_pacifica",0,0,0,0,0,0,0,8,159,0.435,14.3091066075762,0,0,0
"10","Great_Chagos_Bank_Resurgent","Ardenna_pacifica",1,1,1,1,1,1,1,0.5,159,0.435,14.3091066075762,0.823603558118868,0.823603558118868,0.823603558118868
"11","Great_Chagos_Bank_South_Brother","Ardenna_pacifica",300,300,300,300,300,300,300,23,159,0.435,14.3091066075762,5.37132755294914,5.37132755294914,5.37132755294914
"12","Great_Chagos_Bank_Nelson's_Island","Ardenna_pacifica",32,32,32,32,32,32,32,81,159,0.435,14.3091066075762,0.162687122591381,0.162687122591381,0.162687122591381
"13","Peros_Banhos_Coin","Ardenna_pacifica",0,0,0,0,0,0,0,127.5,159,0.435,14.3091066075762,0,0,0
"14","Peros_Banhos_Anglaise","Ardenna_pacifica",0,0,0,0,0,0,0,12,159,0.435,14.3091066075762,0,0,0
"15","Peros_Banhos_Monpatre_complex","Ardenna_pacifica",0,0,0,0,0,0,0,4.5,159,0.435,14.3091066075762,0,0,0
"16","Peros_Banhos_Poule","Ardenna_pacifica",0,0,0,0,0,0,0,108,159,0.435,14.3091066075762,0,0,0
"17","Peros_Banhos_Petit_Souer","Ardenna_pacifica",0,0,0,0,0,0,0,41.5,159,0.435,14.3091066075762,0,0,0
"18","Peros_Banhos_Grand_Souer","Ardenna_pacifica",0,0,0,0,0,0,0,64,159,0.435,14.3091066075762,0,0,0
"19","Peros_Banhos_Finon","Ardenna_pacifica",0,0,0,0,0,0,0,1,159,0.435,14.3091066075762,0,0,0
"20","Peros_Banhos_Verte","Ardenna_pacifica",0,0,0,0,0,0,0,3,159,0.435,14.3091066075762,0,0,0
"21","Peros_Banhos_Unnamed_Burtle","Ardenna_pacifica",0,0,0,0,0,0,0,2,159,0.435,14.3091066075762,0,0,0
"22","Peros_Banhos_Manon","Ardenna_pacifica",0,0,0,0,0,0,0,2,159,0.435,14.3091066075762,0,0,0
"23","Peros_Banhos_Pierre","Ardenna_pacifica",0,0,0,0,0,0,0,150,159,0.435,14.3091066075762,0,0,0
"24","Peros_Banhos_Petite_Mapou","Ardenna_pacifica",0,0,0,0,0,0,0,10,159,0.435,14.3091066075762,0,0,0
"25","Peros_Banhos_Grande_Mapou","Ardenna_pacifica",0,0,0,0,0,0,0,19.5,159,0.435,14.3091066075762,0,0,0
"26","Peros_Banhos_Diamant","Ardenna_pacifica",0,0,0,0,0,0,0,88.5,159,0.435,14.3091066075762,0,0,0
"27","Peros_Banhos_Passe","Ardenna_pacifica",0,0,0,0,0,0,0,22.5,159,0.435,14.3091066075762,0,0,0
"28","Peros_Banhos_Moresby","Ardenna_pacifica",0,0,0,0,0,0,0,43.5,159,0.435,14.3091066075762,0,0,0
"29","Peros_Banhos_Saint_Brandon","Ardenna_pacifica",0,0,0,0,0,0,0,0.5,159,0.435,14.3091066075762,0,0,0
"30","Peros_Banhos_Parasol","Ardenna_pacifica",0,0,0,0,0,0,0,7.5,159,0.435,14.3091066075762,0,0,0
