"","Atoll_Island","Species","Census","Value.high.nn","Value.high.nn.q2.5","Value.high.nn.q97.5","Value.low.nn","Value.low.nn.q2.5","Value.low.nn.q.97.5","Size_Ha","Season.length","Mass","Defecation.rate","NitrogenInput.Current","NitrogenInput.high.nn","NitrogenInput.low.nn"
"7","Great_Chagos_Bank_Eagle_Island","Ardenna_pacifica",0,0,0,0,0,0,0,243.5,159,0.435,14.3091066075762,0,0,0
"13","Peros_Banhos_Coin","Ardenna_pacifica",0,0,0,0,0,0,0,127.5,159,0.435,14.3091066075762,0,0,0
"15","Peros_Banhos_Monpatre_complex","Ardenna_pacifica",0,0,0,0,0,0,0,4.5,159,0.435,14.3091066075762,0,0,0
"16","Peros_Banhos_Poule","Ardenna_pacifica",0,0,0,0,0,0,0,108,159,0.435,14.3091066075762,0,0,0
"17","Peros_Banhos_Petit_Souer","Ardenna_pacifica",0,0,0,0,0,0,0,41.5,159,0.435,14.3091066075762,0,0,0
"18","Peros_Banhos_Grand_Souer","Ardenna_pacifica",0,0,0,0,0,0,0,64,159,0.435,14.3091066075762,0,0,0
"23","Peros_Banhos_Pierre","Ardenna_pacifica",0,0,0,0,0,0,0,150,159,0.435,14.3091066075762,0,0,0
"24","Peros_Banhos_Petite_Mapou","Ardenna_pacifica",0,0,0,0,0,0,0,10,159,0.435,14.3091066075762,0,0,0
"25","Peros_Banhos_Grande_Mapou","Ardenna_pacifica",0,0,0,0,0,0,0,19.5,159,0.435,14.3091066075762,0,0,0
"26","Peros_Banhos_Diamant","Ardenna_pacifica",0,0,0,0,0,0,0,88.5,159,0.435,14.3091066075762,0,0,0
"27","Peros_Banhos_Passe","Ardenna_pacifica",0,0,0,0,0,0,0,22.5,159,0.435,14.3091066075762,0,0,0
"28","Peros_Banhos_Moresby","Ardenna_pacifica",0,0,0,0,0,0,0,43.5,159,0.435,14.3091066075762,0,0,0
"36","Peros_Banhos_Yeye","Ardenna_pacifica",0,0,0,0,0,0,0,58.5,159,0.435,14.3091066075762,0,0,0
"41","Peros_Banhos_Fouquet","Ardenna_pacifica",0,0,0,0,0,0,0,2,159,0.435,14.3091066075762,0,0,0
"42","Peros_Banhos_Mapou_de_Coin","Ardenna_pacifica",0,0,0,0,0,0,0,2,159,0.435,14.3091066075762,0,0,0
"43","Salomon_Islands_Boddam","Ardenna_pacifica",0,0,0,0,0,0,0,108.5,159,0.435,14.3091066075762,0,0,0
"44","Salomon_Islands_Diable","Ardenna_pacifica",0,0,0,0,0,0,0,0.5,159,0.435,14.3091066075762,0,0,0
"45","Salomon_Islands_Anglaise","Ardenna_pacifica",0,0,0,0,0,0,0,75.5,159,0.435,14.3091066075762,0,0,0
"48","Salomon_Islands_Takamaka","Ardenna_pacifica",0,0,0,0,0,0,0,44,159,0.435,14.3091066075762,0,0,0
"49","Salomon_Islands_Fouquet","Ardenna_pacifica",0,0,0,0,0,0,0,39.5,159,0.435,14.3091066075762,0,0,0
"50","Salomon_Islands_Sepulture","Ardenna_pacifica",0,0,0,0,0,0,0,0.5,159,0.435,14.3091066075762,0,0,0
"53","Salomon_Islands_Poule","Ardenna_pacifica",0,0,0,0,0,0,0,0.5,159,0.435,14.3091066075762,0,0,0
"60","Great_Chagos_Bank_Eagle_Island","Puffinus_bailloni",0,0,0,0,0,0,0,243.5,118.5,0.19,8.49139524097329,0,0,0
"66","Peros_Banhos_Coin","Puffinus_bailloni",0,0,0,0,0,0,0,127.5,118.5,0.19,8.49139524097329,0,0,0
"68","Peros_Banhos_Monpatre_complex","Puffinus_bailloni",0,0,0,0,0,0,0,4.5,118.5,0.19,8.49139524097329,0,0,0
"69","Peros_Banhos_Poule","Puffinus_bailloni",0,0,0,0,0,0,0,108,118.5,0.19,8.49139524097329,0,0,0
"70","Peros_Banhos_Petit_Souer","Puffinus_bailloni",0,0,0,0,0,0,0,41.5,118.5,0.19,8.49139524097329,0,0,0
"71","Peros_Banhos_Grand_Souer","Puffinus_bailloni",0,0,0,0,0,0,0,64,118.5,0.19,8.49139524097329,0,0,0
"76","Peros_Banhos_Pierre","Puffinus_bailloni",0,0,0,0,0,0,0,150,118.5,0.19,8.49139524097329,0,0,0
"77","Peros_Banhos_Petite_Mapou","Puffinus_bailloni",0,0,0,0,0,0,0,10,118.5,0.19,8.49139524097329,0,0,0
"78","Peros_Banhos_Grande_Mapou","Puffinus_bailloni",0,0,0,0,0,0,0,19.5,118.5,0.19,8.49139524097329,0,0,0
"79","Peros_Banhos_Diamant","Puffinus_bailloni",0,0,0,0,0,0,0,88.5,118.5,0.19,8.49139524097329,0,0,0
