NAME,TYPE,GROUP,LAT,LONG,THUMBNAIL,NOTES,NOTES_NEW,x,y
Hogsty Reef,Atoll Reef,Bahamas,21.688,-73.8136,http://dpanther2.fiu.edu/worldAtolls/1. Hogsty.jpg,"Platform 28 km2 rimmed by coral/algae N, E, S; open at west. Seagrass assoc. with outside and inside rim. Lagoon Dx̄ 6-8m, Dmax 10m, sloping east to west. Predominant lagoon bottom sand. Refs: Allen Coral Atlas 05/21; P5; P10.","Platform 28 km2 rimmed by coral/algae N, E, S; open at west. Seagrass assoc. with outside and inside rim. Lagoon Dx̄ 6-8m, Dmax 10m, sloping east to west. Predominant lagoon bottom sand. Refs: Allen Coral Atlas 05/21; P5; P10.",-8216892.365618372,2474106.8721608836
Alacran,Atoll Reef,Gulf of Mexico,22.4754,-89.6937,http://dpanther2.fiu.edu/worldAtolls/2. Alacran.jpg,"Shelf atoll rising from 50m. Platform 221 km2, coral rim at east followed by seagrass. Lagoon interior sandy with shallow ponds at east, deeper lagoon at west  Dmax 23m. Refs: P12; P10.","Shelf atoll rising from 50m. Platform 221 km2, coral rim at east followed by seagrass. Lagoon interior sandy with shallow ponds at east, deeper lagoon at west  Dmax 23m. Refs: P12; P10.",-9984657.011364639,2568699.223447494
Chinchorro,Atoll Reef,Caribbean Sea,18.5922,-87.348,http://dpanther2.fiu.edu/worldAtolls/3. Chinchorro.jpg,"Platform 864 km2 with coral rim;  (except SW). Lagoon 144 km2, primarily sandy, 1-2m deep at north, few patch reefs. Lagoon 8-15m deep at south. Patch reefs with seagrass abundant, esp. southern 30% of platform. Refs: Allen Atlas 06/21; C3; J1.","Platform 864 km2 with coral rim;  (except SW). Lagoon 144 km2, primarily sandy, 1-2m deep at north, few patch reefs. Lagoon 8-15m deep at south. Patch reefs with seagrass abundant, esp. southern 30% of platform. Refs: Allen Atlas 06/21; C3; J1.",-9723534.881810855,2106982.405292519
Turneffe,Atoll,Caribbean Sea,17.33,-87.87,http://dpanther2.fiu.edu/worldAtolls/4. Turneffe.jpg,"Platform 525 km2, red mangrove islands occupy >25% of reef platform; restricted circulation with salinity up to 70‰ ; temp to 31C.  Dmax 8m. Northern 65km2 of lagoon shallow & sandy with patch reefs, seagrass & µalgae. Refs: Allen Atlas 06/21; W6; G4;","Platform 525 km2, red mangrove islands occupy >25% of reef platform; restricted circulation with salinity up to 70‰ ; temp to 31C.  Dmax 8m. Northern 65km2 of lagoon shallow & sandy with patch reefs, seagrass & µalgae. Refs: Allen Atlas 06/21; W6; G4;",-9781643.656004943,1959273.0525726161
Lighthouse,Atoll,Caribbean Sea,17.3239,-87.5389,http://dpanther2.fiu.edu/worldAtolls/5. Lighthouse.jpg,"Platform 200 km2, rimmmed with coral/algae E & N. Lagoon with apron variable, up to 1 km wide. Lagoon basin predominantly sand and seagrass; Dmax 8m @ east lagoon; 3m @ west. Refs: Allen Coral Atlas 05/21; P10; G5.","Platform 200 km2, rimmmed with coral/algae E & N. Lagoon with apron variable, up to 1 km wide. Lagoon basin predominantly sand and seagrass; Dmax 8m @ east lagoon; 3m @ west. Refs: Allen Coral Atlas 05/21; P10; G5.",-9744785.772603292,1958561.7241782886
Glovers,Atoll Reef,Caribbean Sea,16.8203,-87.788,http://dpanther2.fiu.edu/worldAtolls/6. Glovers.jpg,"Platform 260 km2 with coral rim; spur & groove in east. Lagoon 216.7 km2, rimmed with sand & seagrass; deep lagoon (>10m-18m) 187.8 km2, with >860 patch reefs, esp. in deeper central lagoon. Ref: Allen Atlas 06/21; G5.","Platform 260 km2 with coral rim; spur & groove in east. Lagoon 216.7 km2, rimmed with sand & seagrass; deep lagoon (>10m-18m) 187.8 km2, with >860 patch reefs, esp. in deeper central lagoon. Ref: Allen Atlas 06/21; G5.",-9772515.457759894,1899916.8931809077
Albuquerque,Atoll Reef,Caribbean Sea,12.1604,-81.856,http://dpanther2.fiu.edu/worldAtolls/7. Albuquerque.jpg,"Platform 43 km2. Strong reef dev. at N & E.  Well-developed spur and groove systems along E rim; west reefs poor. Lagoon 27.7 km2; Patch reefs scattered, mainly at north. Dx̄ 8-10m; Dmax 18m, >35% of lagoon 10-18m deep. Refs: Allen Coral Atlas 06/21; D4","Platform 43 km2. Strong reef dev. at N & E.  Well-developed spur and groove systems along E rim; west reefs poor. Lagoon 27.7 km2; Patch reefs scattered, mainly at north. Dx̄ 8-10m; Dmax 18m, >35% of lagoon 10-18m deep. Refs: Allen Coral Atlas 06/21; D4",-9112168.238374194,1363968.4177309638
Courtown,Atoll Reef,Caribbean Sea,12.414,-81.4593,http://dpanther2.fiu.edu/worldAtolls/8. Courtown.jpg,"Rim submerged at west. Platform 25 km2 with spur/groove system at E; lagoon 21.3 km2, Dx̄ 10m, Dmax 11m, but 17% of lagoon appears >20m deep. Patch reefs conc. at N/NE 5 km2 of lagoon. Refs: Allen Coral Atlas 06/21; P10; D4; M2.","Rim submerged at west. Platform 25 km2 with spur/groove system at E; lagoon 21.3 km2, Dx̄ 10m, Dmax 11m, but 17% of lagoon appears >20m deep. Patch reefs conc. at N/NE 5 km2 of lagoon. Refs: Allen Coral Atlas 06/21; P10; D4; M2.",-9068007.796376508,1392860.9018727269
Roncador,Atoll Reef,Caribbean Sea,13.5358,-80.0467,http://dpanther2.fiu.edu/worldAtolls/9. Roncador.jpg,"Platform 33 km2; rim submerged at west end. E & S rim reefs well dev., less so at west. Lagoon Dx̄ 10-12m; Dmax 18m. Numerous patch reefs, esp. center and east. Patch reefs at west with seagrass. Refs: Allen Atlas 06/21; M2; P10.","Platform 33 km2; rim submerged at west end. E & S rim reefs well dev., less so at west. Lagoon Dx̄ 10-12m; Dmax 18m. Numerous patch reefs, esp. center and east. Patch reefs at west with seagrass. Refs: Allen Atlas 06/21; M2; P10.",-8910757.88368193,1521013.232110288
Serrana,Atoll Reef,Caribbean Sea,14.3826,-80.2408,http://dpanther2.fiu.edu/worldAtolls/10. Serrana.jpg,"Rim submerged at W and NW sides. Platform 254 km2, rim reefs well dev. N, E & S. Lagoon: Dx̄ 15m; Dmax 20m, dense patch reefs at east & north. Refs: Allen Atlas 06/21; S7; M2.","Rim submerged at W and NW sides. Platform 254 km2, rim reefs well dev. N, E & S. Lagoon: Dx̄ 15m; Dmax 20m, dense patch reefs at east & north. Refs: Allen Atlas 06/21; S7; M2.",-8932364.996844903,1618148.1535323076
Rocas,Atoll Reef,"Brazil, So. Atlantic",3.8629,-33.8033,http://dpanther2.fiu.edu/worldAtolls/11. Atol das Rocas.jpg,"Emergent part of 137 km2 platform: 7 km2. Reef rim almost exclusively coralline algae and vermetid gastropods. Intertidal sand flat interior; lagoon ~ 75 ha near pass at NE, Dmax 5m. Refs: Allen Atlas; Gherardi & Bosence 2001.","Emergent part of 137 km2 platform: 7 km2. Reef rim almost exclusively coralline algae and vermetid gastropods. Intertidal sand flat interior; lagoon ~ 75 ha near pass at NE, Dmax 5m. Refs: Allen Atlas; Gherardi & Bosence 2001.",-3762966.143132262,430342.2046791966
Sanganeb,Atoll Reef,Red Sea,18.4003,38.4901,http://dpanther2.fiu.edu/worldAtolls/12. Sanganeb.jpg,"Lagoon 8 km2, Dmax 27m. ref: ref: ""Atoll Area, Depth and Rainfall"" (spreadsheet). The Geological Society of America. 2001.","Lagoon 8 km2, Dmax 27m. ref: ref: ""Atoll Area, Depth and Rainfall"" (spreadsheet). The Geological Society of America. 2001.",4284698.332582184,2084456.59922871
