Island_GID_Code,Corrected_Island_Name,Region_Archipelago,ISO_Code_Correct,Corrected_Latitude,Corrected_Longitude,Corrected_Area_KM2,IC_Region,Human_Habitation,Human_Habitation_Category,Human_Habitation_Number,Human_Habitation_Type,Human_Habitation_Notes,Common_Name,Scientific_Name,Invasive_Status
177440,Au'nuu,Samoa (American),AS,-14.290027,-170.579222,1.4552,2,Yes,101 - 1000,476,Permanent Community,2000 census,Unknown,Unknown,Unknown
77270,Olosega,Samoa (American),AS,-14.179152,-169.647555,5.9181,2,Yes,101 - 1000,216,Permanent Community,2000 census,Black Rat,Rattus rattus,Suspected
77270,Olosega,Samoa (American),AS,-14.179152,-169.647555,5.9181,2,Yes,101 - 1000,216,Permanent Community,2000 census,Cane Toad,Bufo marinus,Suspected
77270,Olosega,Samoa (American),AS,-14.179152,-169.647555,5.9181,2,Yes,101 - 1000,216,Permanent Community,2000 census,Domestic Cat,Felis catus,Suspected
77270,Olosega,Samoa (American),AS,-14.179152,-169.647555,5.9181,2,Yes,101 - 1000,216,Permanent Community,2000 census,Domestic Dog,Canis familiaris,Suspected
77270,Olosega,Samoa (American),AS,-14.179152,-169.647555,5.9181,2,Yes,101 - 1000,216,Permanent Community,2000 census,Polynesian Rat,Rattus exulans,Suspected
77270,Olosega,Samoa (American),AS,-14.179152,-169.647555,5.9181,2,Yes,101 - 1000,216,Permanent Community,2000 census,Wild Boar/Pig,Sus scrofa,Suspected
95410,Swains,Samoa (Tokelau group),AS,-11.057097,-171.077541,4.1363,2,Yes,11 - 100,37,Permanent Community,2005 census; coconut plantation on island,Domestic Cat,Felis catus,Confirmed
95410,Swains,Samoa (Tokelau group),AS,-11.057097,-171.077541,4.1363,2,Yes,11 - 100,37,Permanent Community,2005 census; coconut plantation on island,Polynesian Rat,Rattus exulans,Confirmed
22160,Tau,Samoa (American (Manua)),AS,-14.247097,-169.497153,47.0038,2,Yes,101 - 1000,873,Multiple,2000 census,Black Rat,Rattus rattus,Suspected
22160,Tau,Samoa (American (Manua)),AS,-14.247097,-169.497153,47.0038,2,Yes,101 - 1000,873,Multiple,2000 census,Brown / Norway Rat,Rattus norvegicus,Suspected
22160,Tau,Samoa (American (Manua)),AS,-14.247097,-169.497153,47.0038,2,Yes,101 - 1000,873,Multiple,2000 census,Cane Toad,Bufo marinus,Suspected
22160,Tau,Samoa (American (Manua)),AS,-14.247097,-169.497153,47.0038,2,Yes,101 - 1000,873,Multiple,2000 census,Domestic Cat,Felis catus,Suspected
22160,Tau,Samoa (American (Manua)),AS,-14.247097,-169.497153,47.0038,2,Yes,101 - 1000,873,Multiple,2000 census,Domestic Dog,Canis familiaris,Suspected
22160,Tau,Samoa (American (Manua)),AS,-14.247097,-169.497153,47.0038,2,Yes,101 - 1000,873,Multiple,2000 census,Polynesian Rat,Rattus exulans,Confirmed
22160,Tau,Samoa (American (Manua)),AS,-14.247097,-169.497153,47.0038,2,Yes,101 - 1000,873,Multiple,2000 census,Wild Boar/Pig,Sus scrofa,Confirmed
11250,Tutuila,Samoa (American),AS,-14.311263,-170.727125,142.3136,2,Yes,> 10000,55876,Multiple,2000 census,Black Rat,Rattus rattus,Confirmed
11250,Tutuila,Samoa (American),AS,-14.311263,-170.727125,142.3136,2,Yes,> 10000,55876,Multiple,2000 census,Brown / Norway Rat,Rattus norvegicus,Confirmed
11250,Tutuila,Samoa (American),AS,-14.311263,-170.727125,142.3136,2,Yes,> 10000,55876,Multiple,2000 census,Polynesian Rat,Rattus exulans,Confirmed
11250,Tutuila,Samoa (American),AS,-14.311263,-170.727125,142.3136,2,Yes,> 10000,55876,Multiple,2000 census,Wild Boar/Pig,Sus scrofa,Confirmed
46770,Badger,Furneaux Group,AU,-40.30875,147.873736,13.9219,2,Yes,11 - 100,,Unknown,no census information found; island returned to Aborigional community 1995;development of jetties and shelters in 2000 to allow access for work teams and land managers; estimated given size of the farm and island (NH),Common Starling,Sturnus vulgaris,Confirmed
46770,Badger,Furneaux Group,AU,-40.30875,147.873736,13.9219,2,Yes,11 - 100,,Unknown,no census information found; island returned to Aborigional community 1995;development of jetties and shelters in 2000 to allow access for work teams and land managers; estimated given size of the farm and island (NH),Domestic Cat,Felis catus,Confirmed
46770,Badger,Furneaux Group,AU,-40.30875,147.873736,13.9219,2,Yes,11 - 100,,Unknown,no census information found; island returned to Aborigional community 1995;development of jetties and shelters in 2000 to allow access for work teams and land managers; estimated given size of the farm and island (NH),Domestic Cow,Bos taurus,Confirmed
46770,Badger,Furneaux Group,AU,-40.30875,147.873736,13.9219,2,Yes,11 - 100,,Unknown,no census information found; island returned to Aborigional community 1995;development of jetties and shelters in 2000 to allow access for work teams and land managers; estimated given size of the farm and island (NH),Domestic Sheep,Ovis aries,Confirmed
