Species,Mass,IncPhase,BroodPhase,CrechePhase,Foraging_Distance,Wing_Span
Ardenna_pacifica,0.435,52,107,0,Offshore,101
Puffinus_bailloni,0.19,50,68.5,0,NearshorePlus,69
Phaethon_lepturus,0.32,42,77.5,0,Offshore,92.5
Phaethon_rubricauda,0.675,45,85,0,Offshore,113
Sula_dactylatra,2.1,43,130,100,Offshore,156
Sula_sula,1.15,44.5,101.5,190,Offshore,151
Sula_leucogaster,1.35,42.8,95,188.5,Nearshore/Offshoroe,148
Fregeta_minor,1.495,56,165,293,Offshore,198
Fregeta_ariel,0.945,50,162,160,Offshore,185
Thalasseus_bergii,0.36,27.5,38,80,Nearshore,115
Sterna_dougallii,0.11,23.3,26,10.5,Nearshore,76
Sterna_sumatrana,0.104,22,24,0,Nearshore,NA
Sternula_albifrons,0.055,22.5,22,0,NA,51
Onychoprion_anaethetus,0.14,30,52,0,NA,NA
Onychoprion_fuscatus,0.185,29,60,17,Offshore,84
Anous_stolidus,0.167,34.5,45,65,NearshorePlus,80.5
Anous_tenuirostris,0.1085,35,55,0,NA,60.5
Gygis_alba,0.12,35.6,48.6,47.5,Nearshore/Offshoroe,73
