"","animal","Common_Name","Family_Common","selector_caption"
"1","Aethia_cristatella","Crested Auklet","Alcidae (Auks/ Alcids)","Aethia cristatella (crested auklet)"
"2","Aethia_psittacula","Parakeet Auklet","Alcidae (Auks/ Alcids)","Aethia psittacula (parakeet auklet)"
"3","Aethia_pusilla","Least Auklet","Alcidae (Auks/ Alcids)","Aethia pusilla (least auklet)"
"4","Aethia_pygmaea","Whiskered Auklet","Alcidae (Auks/ Alcids)","Aethia pygmaea (whiskered auklet)"
"5","Alca_torda","Razorbill","Alcidae (Auks/ Alcids)","Alca torda (razorbill)"
"6","Alle_alle","Dovekie","Alcidae (Auks/ Alcids)","Alle alle (dovekie)"
"7","Anous_minutus","Black Noddy","Laridae (Gulls, Terns & Skimmers)","Anous minutus (black noddy)"
"8","Anous_stolidus","Common Noddy","Laridae (Gulls, Terns & Skimmers)","Anous stolidus (common noddy)"
"9","Anous_tenuirostris","Lesser Noddy","Laridae (Gulls, Terns & Skimmers)","Anous tenuirostris (lesser noddy)"
"10","Aptenodytes_forsteri","Emperor Penguin","Spheniscidae (Penguins)","Aptenodytes forsteri (emperor penguin)"
"11","Aptenodytes_patagonicus","King Penguin","Spheniscidae (Penguins)","Aptenodytes patagonicus (king penguin)"
"12","Brachyramphus_brevirostris","Kittlitz's Murrelet","Alcidae (Auks/ Alcids)","Brachyramphus brevirostris (Kittlitz's murrelet)"
"13","Brachyramphus_marmoratus","Marbled Murrelet","Alcidae (Auks/ Alcids)","Brachyramphus marmoratus (marbled murrelet)"
"14","Brachyramphus_perdix","Long-billed Murrelet","Alcidae (Auks/ Alcids)","Brachyramphus perdix (long-billed murrelet)"
"15","Bulweria_bulwerii","Bulwer's Petrel","Procellariidae (Petrels, Prions & Shearwaters)","Bulweria bulwerii (Bulwer's petrel)"
"16","Bulweria_fallax","Jouanin's Petrel","Procellariidae (Petrels, Prions & Shearwaters)","Bulweria fallax (Jouanin's petrel)"
"17","Calonectris_diomedea","Scopoli's Shearwater","Procellariidae (Petrels, Prions & Shearwaters)","Calonectris diomedea (Scopoli's shearwater)"
"18","Calonectris_edwardsii","Cape Verde Shearwater","Procellariidae (Petrels, Prions & Shearwaters)","Calonectris edwardsii (Cape Verde shearwater)"
"19","Calonectris_leucomelas","Streaked Shearwater","Procellariidae (Petrels, Prions & Shearwaters)","Calonectris leucomelas (streaked shearwater)"
"20","Catharacta_antarctica","Brown Skua","Spheniscidae (Penguins)","Catharacta antarctica (brown skua)"
"21","Catharacta_chilensis","Chilean Skua","Spheniscidae (Penguins)","Catharacta chilensis (chilean skua)"
"22","Catharacta_lonnbergi","Brown Skua","Spheniscidae (Penguins)","Catharacta lonnbergi (brown skua)"
"23","Catharacta_maccormicki","South Polar Skua","Spheniscidae (Penguins)","Catharacta maccormicki (south polar skua)"
"24","Catharacta_skua","Great Skua","Spheniscidae (Penguins)","Catharacta skua (great skua)"
"25","Cepphus_carbo","Spectacled Guillemot","Alcidae (Auks/ Alcids)","Cepphus carbo (spectacled guillemot)"
"26","Cepphus_columba","Pigeon Guillemot","Alcidae (Auks/ Alcids)","Cepphus columba (pigeon guillemot)"
"27","Cepphus_grylle","Black Guillemot","Alcidae (Auks/ Alcids)","Cepphus grylle (black guillemot)"
"28","Cerorhinca_monocerata","Rhinoceros Auklet","Alcidae (Auks/ Alcids)","Cerorhinca monocerata (rhinoceros auklet)"
"29","Chlidonias_niger","Black Tern","Laridae (Gulls, Terns & Skimmers)","Chlidonias niger (black tern)"
"30","Creagrus_furcatus","Swallow-tailed Gull","Laridae (Gulls, Terns & Skimmers)","Creagrus furcatus (swallow-tailed gull)"
"31","Daption_capense","Cape Pigeon","Procellariidae (Petrels, Prions & Shearwaters)","Daption capense (cape pigeon)"
"32","Diomedea_amsterdamensis","Amsterdam Island Albatross","Diomedeidae (Albatrosses)","Diomedea amsterdamensis (Amsterdam Island albatross)"
"33","Diomedea_antipodensis","Antipodean Albatross","Diomedeidae (Albatrosses)","Diomedea antipodensis (Antipodean albatross)"
"34","Diomedea_dabbenena","Tristan Albatross","Diomedeidae (Albatrosses)","Diomedea dabbenena (Tristan albatross)"
