IslandID,Island,Archipelago,#sp,Extant,Extirpated,Country/ Territory ,Area (sq. km),Income Group (GDP per Cap.),Human Presence,Habitation,Invasive Vertebrate Presence,Latitudinal Zone,Biogeographic Realm,Biome,Marine Realm,Marine Province,Marine Ecoregion
10,New Guinea,Papua New Guinea/Indonesia,24,24,,ID,773848.337,Lower middle income,Yes,> 10000,Present,Tropical,Australasia,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Sahul Shelf,Arafura Sea
20,Borneo,Borneo Islands,44,44,,ID,732465.697,Lower middle income,Yes,> 10000,Present,Tropical,Indo-Malay,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Western Coral Triangle,Palawan/North Borneo
50,Sumatra,Sumatra Islands,32,32,,ID,429531.191,Lower middle income,Yes,> 10000,Present,Tropical,Indo-Malay,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Sunda Shelf,Malacca Strait
100,Sulawesi,Sulawesi Islands,20,20,,ID,168889.726,Lower middle income,Yes,> 10000,Present,Tropical,Australasia,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Western Coral Triangle,Banda Sea
120,Java,Java Islands,26,25,1,ID,126825.774,Lower middle income,Yes,> 10000,Present,Tropical,Indo-Malay,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Java Transitional,Southern Java
160,Luzon,Luzon Group,12,12,,PH,104970.426,Lower middle income,Yes,> 10000,Present,Tropical,Indo-Malay,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Western Coral Triangle,Eastern Philippines
180,Mindanao,Mindanao Group,7,7,,PH,94043.973,Lower middle income,Yes,> 10000,Present,Tropical,Indo-Malay,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Western Coral Triangle,Eastern Philippines
370,Hainan,Hainan Province,19,19,,CN,33976.251,Upper middle income,Yes,> 10000,Present,Tropical,Indo-Malay,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,South China Sea,Gulf of Tonkin
410,Timor,Lesser Sunda Islands,5,5,,ID,28519.977,Lower middle income,Yes,> 10000,Present,Tropical,Australasia,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Western Coral Triangle,Lesser Sunda
470,Halmahera,Malaku Islands,2,2,,ID,17955.923,Lower middle income,Yes,> 10000,Present,Tropical,Australasia,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Western Coral Triangle,Halmahera
480,Seram,Malaku Islands,6,6,,ID,17293.324,Lower middle income,Yes,> 10000,Present,Tropical,Australasia,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Western Coral Triangle,Banda Sea
490,New Caledonia (Grand Terre),New Caledonia Islands,43,43,,NC,16199.931,High income,Yes,> 10000,Present,Tropical,Australasia,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Southwestern Pacific,New Caledonia
520,Sumbawa,Lesser Sunda Islands,3,3,,ID,14375.608,Lower middle income,Yes,> 10000,Present,Tropical,Australasia,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Western Coral Triangle,Lesser Sunda
550,Flores,Lesser Sunda Islands,10,10,,ID,13986.348,Lower middle income,Yes,> 10000,Present,Tropical,Australasia,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Western Coral Triangle,Lesser Sunda
570,Negros,Visayas,20,19,1,PH,12767.278,Lower middle income,Yes,> 10000,Present,Tropical,Indo-Malay,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Western Coral Triangle,Eastern Philippines
580,Samar,Visayas (Eastern),4,4,,PH,12455.772,Lower middle income,Yes,> 10000,Present,Tropical,Indo-Malay,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Western Coral Triangle,Eastern Philippines
600,Bangka,Bangka-Belitung Islands,2,2,,ID,11743.334,Lower middle income,Yes,> 10000,Present,Tropical,Indo-Malay,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Sunda Shelf,Sunda Shelf/Java Sea
610,Palawan,Palawan Group,4,4,,PH,11450.317,Lower middle income,Yes,> 10000,Present,Tropical,Indo-Malay,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Western Coral Triangle,Palawan/North Borneo
620,Panay,Visayas,14,14,,PH,11567.374,Lower middle income,Yes,> 10000,Present,Tropical,Indo-Malay,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Western Coral Triangle,Eastern Philippines
670,Sumba,Lesser Sunda Islands,1,1,,ID,10886.678,Lower middle income,Yes,> 10000,Present,Tropical,Australasia,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Western Coral Triangle,Lesser Sunda
680,Viti Levu,Fiji (Viti Levu Group),8,6,2,FJ,10543.686,Upper middle income,Yes,> 10000,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Southwestern Pacific,Fiji Islands
