,ï..Island,Atoll,Savanna_ha,Wetland_ha,NativeForest_ha,NonNativeForest_ha,MixedShrub_ha,Savanna_p,Wetland_p,NativeForest_p,NonNativeForest_p,MixedShrub_p
5,Sudest_complex,Egmonts_Islands,1.83,0,33.41,127.22,42.69,0.892030222,0,16.28564465,62.0131611,20.80916403
6,Lubine_complex,Egmonts_Islands,4.51,10.53,15.73,131.27,55.14,2.076618473,4.848512754,7.242840041,60.44295055,25.38907818
7,Danger,Great_Chagos_Bank,0,0,11.27,19.09,38.15,0,0,16.45015326,27.86454532,55.68530142
8,Sea_Cow,Great_Chagos_Bank,2.11,0,4.21,7.03,7.11,10.31280547,0,20.57673509,34.3597263,34.75073314
9,Eagle_Island,Great_Chagos_Bank,40.9,9.38,13.51,192.01,9.63,15.40895905,3.533888407,5.089854199,72.33922315,3.628075199
14,Nelson's_Island,Great_Chagos_Bank,4.21,0,0.23,3.39,21.14,14.53227477,0,0.79392475,11.70176044,72.97204004
15,Coin,Peros_Banhos,0,0,4.23,117.77,3.46,0,0,3.371592539,93.87055635,2.757851108
21,Finon,Peros_Banhos,0,0,0,0.25,1.03,0,0,0,19.53125,80.46875
22,Verte,Peros_Banhos,0,0,0,0.87,2.92,0,0,0,22.95514512,77.04485488
23,Unnamed_Burtle,Peros_Banhos,0,0,0,0.57,1.86,0,0,0,23.45679012,76.54320988
24,Manon,Peros_Banhos,0,0,0,1.03,1.19,0,0,0,46.3963964,53.6036036
29,Passe,Peros_Banhos,0.24,0,1.441,19.71,0.03,1.120395873,0,6.727043555,92.01251109,0.140049484
30,Moresby,Peros_Banhos,0,3.54,6.61,20.52,0.9,0,11.21317707,20.93759899,64.99841622,2.850807729
32,Parasol,Peros_Banhos,3.15,0,0.02,1.39,3.33,39.92395437,0,0.253485425,17.61723701,42.20532319
33,Longue,Peros_Banhos,1.47,0,1.67,7.27,7.97,7.997823721,0,9.085963003,39.55386289,43.36235038
34,Grand_Bois_Mangue,Peros_Banhos,1.62,0,1.32,4.04,4.91,13.62489487,0,11.10176619,33.97813288,41.29520606
35,Petite_Bois_Mangue,Peros_Banhos,0,0,3.18,2.75,2.13,0,0,39.45409429,34.1191067,26.42679901
36,Manoel,Peros_Banhos,0.74,0,16.21,11.3,1.46,2.490743857,0,54.56075395,38.03433187,4.914170313
38,Yeye,Peros_Banhos,16.19,0,0,43.38,0,27.17810979,0,0,72.82189021,0
39,Petite_Coquillage,Peros_Banhos,5.98,0,0.16,4.87,7.29,32.67759563,0,0.87431694,26.61202186,39.83606557
40,Grand_Coquillage,Peros_Banhos,0.57,0,0.45,9.97,7.45,3.091106291,0,2.440347072,54.06724512,40.40130152
41,Coin_de_Mire,Peros_Banhos,0.33,0,0,0,0,100,0,0,0,0
42,Vache_Marine,Peros_Banhos,0.18,0,1.51,2.41,7.24,1.587301587,0,13.31569665,21.25220459,63.84479718
43,Fouquet,Peros_Banhos,0,0,0.09,1.77,0.2,0,0,4.368932039,85.9223301,9.708737864
45,Boddam,Salomon_Islands,0.37,0.26,2.21,109.74,0.15,0.328217866,0.230639581,1.960436441,97.34764482,0.133061297
46,Diable,Salomon_Islands,0,0,0,0.07,0.03,0,0,0,70,30
47,Anglaise,Salomon_Islands,0.68,1.96,2.08,65.91,0.8,0.95198096,2.743945121,2.911941761,92.27215456,1.1199776
48,Passe,Salomon_Islands,0.17,0.03,6.26,21.01,0,0.618856935,0.109210047,22.78849654,76.48343648,0
49,Mapou,Salomon_Islands,0,0.06,1,2.68,0.24,0,1.507537688,25.12562814,67.33668342,6.030150754
50,Takamaka,Salomon_Islands,0,0,17.28,30.14,0.59,0,0,35.99250156,62.77858779,1.228910644
51,Fouquet,Salomon_Islands,0,0,11.51,33.72,0.18,0,0,25.3468399,74.25677164,0.396388461
52,Sepulture,Salomon_Islands,0,0,0,0.77,0.1,0,0,0,88.50574713,11.49425287
53,Jacobin,Salomon_Islands,0,0,0.14,1.7,0,0,0,7.608695652,92.39130435,0
54,Sel,Salomon_Islands,0,0,0.64,1.33,0.15,0,0,30.18867925,62.73584906,7.075471698
55,Poule,Salomon_Islands,0,0,0.05,0.12,0.29,0,0,10.86956522,26.08695652,63.04347826
