NAME,TYPE,GROUP,LAT,LONG,THUMBNAIL,NOTES,NOTES_NEW,x,y,TIB
Surprise,Atoll,New Caledonia Coral Sea,-18.4121,163.1109,http://dpanther2.fiu.edu/worldAtolls/223. Surprise.jpg,"Islands and cays 6 percent of rim area; platform 481 km2, lagoon Dmax 50m. Ref: Purdy, 2001.","Islands and cays 6 percent of rim area; platform 481 km2, lagoon Dmax 50m. Ref: Purdy, 2001.",18157422.33,-2085840.992,
Ile Europa,Atoll,Mozambique Channel,-22.3698,40.3699,http://dpanther2.fiu.edu/worldAtolls/14. Ile Europa.jpg,"Submerged platform with indistinct edge ~80 km2 with reefs at south (similar to Bassas). Emergent platform 46.9 km2 with coral/algal rim. Lagoon flats rock/rubbble, sandy interior, Dmax 1m. Refs: Allen Coral Atlas 05/21; Purdy, 2001.","Submerged platform with indistinct edge ~80 km2 with reefs at south (similar to Bassas). Emergent platform 46.9 km2 with coral/algal rim. Lagoon flats rock/rubbble, sandy interior, Dmax 1m. Refs: Allen Coral Atlas 05/21; Purdy, 2001.",4493956.711,-2555982.439,
Ile Alphonse,Atoll,Amirante Islands,-7.0206,52.7374,http://dpanther2.fiu.edu/worldAtolls/16. Ile Alphonse.jpg,"Platform 23 km2 coral/algae at rim & circling lagoon. Dominant biota of the lagoon is seagrass, Dmax 10m. Refs. Allen Coral Atlas 05/21; Spencer et al. 2008.","Platform 23 km2 coral/algae at rim & circling lagoon. Dominant biota of the lagoon is seagrass, Dmax 10m. Refs. Allen Coral Atlas 05/21; Spencer et al. 2008.",5870700.514,-783492.6681,
Ouvea,Atoll,New Caledonia Coral Sea,-20.5686,166.4243,http://dpanther2.fiu.edu/worldAtolls/226. Ouvea.jpg,"atoll formed on a tilted paleoatoll; 1.5 km long island uplifted. Platform 1045 km2, lagoon Dmax 44m. Refs: Dickinson 2013; Purdy, 2001.","atoll formed on a tilted paleoatoll; 1.5 km long island uplifted. Platform 1045 km2, lagoon Dmax 44m. Refs: Dickinson 2013; Purdy, 2001.",18526268.33,-2340512.457,
St. Francois,Atoll,Amirante Islands,-7.1177,52.749,http://dpanther2.fiu.edu/worldAtolls/17. St_FrancoiseBijoutier.jpg,"Platform 63 km2, coral/algal rim; outer lagoon flat seagrass (esp. at NW), rock & rubble; inner flat sand & rock. Lagoon shallow with sand & microalgal mats. Small areas at north (~70 ha) Dmax >10m. Refs: Allen Coral Atlas 05/21; Spencer et al. 2008.","Platform 63 km2, coral/algal rim; outer lagoon flat seagrass (esp. at NW), rock & rubble; inner flat sand & rock. Lagoon shallow with sand & microalgal mats. Small areas at north (~70 ha) Dmax >10m. Refs: Allen Coral Atlas 05/21; Spencer et al. 2008.",5871991.82,-794384.5886,
Farquhar,Atoll,Seychelles Islands,-10.1893,51.1017,http://dpanther2.fiu.edu/worldAtolls/18. Farquhar.jpg,"Platform 180 km2, rimmed with coral/algae esp. on the east. Lagoon shallow, bounded by seagrass; sandy center, Dmax 9m. Refs: Allen Coral Atlas 05/21; Purdy, 2001.","Platform 180 km2, rimmed with coral/algae esp. on the east. Lagoon shallow, bounded by seagrass; sandy center, Dmax 9m. Refs: Allen Coral Atlas 05/21; Purdy, 2001.",5688615.223,-1140294.11,
Aldabra,Atoll,Seychelles Islands,-9.4203,46.3411,http://dpanther2.fiu.edu/worldAtolls/19. Aldabra.jpg,"Platform 367 km2 with coral/algal rim; weakest at west. Atoll uplifted to 8m at south. Lagoon predominantly shallow, sandy with microalgal mats, mostly < 10m; Dmax 18m. Refs: Allen Coral Atlas 05/21; Purdy, 2001; Stoddart et al. 1971.","Platform 367 km2 with coral/algal rim; weakest at west. Atoll uplifted to 8m at south. Lagoon predominantly shallow, sandy with microalgal mats, mostly < 10m; Dmax 18m. Refs: Allen Coral Atlas 05/21; Purdy, 2001; Stoddart et al. 1971.",5158667.655,-1053419.823,
Cosmoledo,Atoll,Seychelles Islands,-9.7219,47.5927,http://dpanther2.fiu.edu/worldAtolls/20. Cosmoledo.jpg,"Platform 151 km2, coral/algae at rim except SE. Outer lagoon flat rock, then rubble & seagrass. Lagoon mostly <10m deep with extensive sand & microalgal mats. Dmax 7m. Refs: Allen Coral Atlas 05/21; Purdy, 2001.","Platform 151 km2, coral/algae at rim except SE. Outer lagoon flat rock, then rubble & seagrass. Lagoon mostly <10m deep with extensive sand & microalgal mats. Dmax 7m. Refs: Allen Coral Atlas 05/21; Purdy, 2001.",5297995.129,-1087467.769,
Lihou,Atoll,"Australia, Coral Sea",-17.3229,151.8021,http://dpanther2.fiu.edu/worldAtolls/230. Lihou.jpg,"Platform 2526 km2, NW side submerged. Coral rim lagoon with scattered patch reefs. Lagoon primarily >20m deep by Allen Atlas (05/21) NOT Dmax 5m (Purdy 2001).","Platform 2526 km2, NW side submerged. Coral rim lagoon with scattered patch reefs. Lagoon primarily >20m deep by Allen Atlas (05/21) NOT Dmax 5m (Purdy 2001).",16898532.47,-1958445.115,
Astove,Atoll,Seychelles Islands,-10.0884,47.7457,http://dpanther2.fiu.edu/worldAtolls/21. Astove.jpg,"Platform 3.4 km2, coral/algal rim; seagrass at outer flat; Dmax 0.5m, predominantly sandy bottom and essentially closed despite a pass; lagoon floods at spring tide, drains at neap. Ref: Allen Coral Atlas; Bayne et al. 1970.","Platform 3.4 km2, coral/algal rim; seagrass at outer flat; Dmax 0.5m, predominantly sandy bottom and essentially closed despite a pass; lagoon floods at spring tide, drains at neap. Ref: Allen Coral Atlas; Bayne et al. 1970.",5315027.012,-1128883.789,
Glorioso,Atoll,Seychelles Islands,-11.5468,47.3258,http://dpanther2.fiu.edu/worldAtolls/22. Glorioso.jpg,"Atoll? Platform 180 km2, but  submerged at north side;  emergent platform ~63.6 km2. Little coral development. Rock/rubble flats at E/NE; lagoon sandy with microalgal mats. Ref: Allen Coral Atlas 05/21.","Atoll? Platform 180 km2, but  submerged at north side;  emergent platform ~63.6 km2. Little coral development. Rock/rubble flats at E/NE; lagoon sandy with microalgal mats. Ref: Allen Coral Atlas 05/21.",5268283.957,-1294174.105,
Cato,Atoll,"Australia, Coral Sea",-23.2213,155.5274,http://dpanther2.fiu.edu/worldAtolls/236. Cato Reef.jpg,"Platform >100 km2 (estimated from Google Earth), but with 5 km2 lagoon island that emerges from rim. Its lagoon shallow, < 10 m deep, primarily sandy, 2.5 km2, Dmax 4m. Refs: Allen Coral Atlas 05/2; Purdy 2001.","Platform >100 km2 (estimated from Google Earth), but with 5 km2 lagoon island that emerges from rim. Its lagoon shallow, < 10 m deep, primarily sandy, 2.5 km2, Dmax 4m. Refs: Allen Coral Atlas 05/2; Purdy 2001.",17313230.97,-2658803.158,
